User ID,Birthdate,City,State,Zip,Available Points,Total Points Earned,Points Spent,Joined On,Last Seen,Tags
1,1/31/1992,Minneapolis ,Georgia,55401,300,300,0,9/4/2020 0:15,12/16/2021 17:42,ClassOf2025
2,,Los Angeles ,Colorado,90210,320,320,0,8/19/2020 11:15,4/13/2022 14:28,ClassOf2025|apple
3,1/11/1990,Merida,AL,97204,330,330,0,10/13/2020 16:20,4/21/2021 10:54,Freshman|Developer
4,4/16/1990,Winston-Salem,NC,27106,10790,14290,3500,8/18/2020 13:21,6/30/2022 22:22,GraduateStudent|admin|MBBvsDuke
5,3/24/1994,Winston-Salem,NC,27109,650,650,0,8/21/2020 11:27,12/30/2020 10:57,Student|NOBSBvsNDGame3|NOBSBvsNDGame3A
6,10/9/1995,G,AL,85588,7085,7395,310,8/18/2020 14:28,6/8/2022 23:55,GraduateStudent|admin
7,9/22/1995,,,,570,570,0,8/21/2020 10:23,4/27/2022 16:27,ClassOf2025
8,,,,,2410,2410,0,8/22/2020 13:53,3/31/2022 1:56,ClassOf2022|21DZ
9,,,,,2895,3195,300,8/22/2020 14:03,10/10/2021 16:05,Student|Senior|DriveInNCSU|ClassificationPts|19RetroactivePoints|BSBvNDGame3|No Show 1 2021
10,7/20/1999,Winston Salem,NC,27106,8465,8515,50,8/22/2020 14:42,4/9/2022 14:10,GraduateStudent
11,7/22/2000,,,,22210,22210,0,8/22/2020 15:59,6/21/2022 19:32,ClassOf2022
12,,,,,1355,4355,3000,8/22/2020 17:37,5/18/2021 20:57,Student|Senior|DriveInNCSU|ClassificationPts|19RetroactivePoints|MSOC-UAB101020|MSOC-UNC101820|NOBSBvsNDGame3|NOBSBvsNDGame3A|MSOCvDavidson3.1.21
13,,,,,3290,3290,0,8/22/2020 18:20,4/10/2022 23:04,Student|Senior|ClassificationPts|CampbellGroup|UVALottery_GroupEntry1013|UVALotteryWinner|BSBvNDGame3|MBBvGTech30521
14,11/1/2000,Winston-Salem,NC,27106,10965,17165,6200,8/22/2020 20:02,5/11/2022 15:16,ClassOf2023|MBBvsDuke
15,6/27/2000,Thomasville,NC,27360,5750,5750,0,8/23/2020 9:26,4/11/2022 16:27,ClassOf2022
16,4/24/1999,,,,4310,4610,300,8/23/2020 23:43,8/27/2021 13:01,Student|Senior|ClassificationPts|BSBvNDGame1|BSBvNDGame3|MSOCvDavidson3.1.21|No Show 1 2021|BSBvsVTech4.10.21
17,,,,,890,890,0,8/24/2020 11:30,1/23/2022 23:28,ClassOf2022
18,7/5/1998,,,,550,550,0,8/24/2020 14:48,10/26/2020 10:01,NOBSBvsNDGame3|NOBSBvsNDGame3A
19,,Goldsboro,North Carolina,27534,3425,3425,0,8/24/2020 15:35,6/30/2022 21:19,ClassOf2023|21EPI|MBBvsDuke
20,,,,,800,800,0,8/24/2020 18:23,,Student|19RetroactivePoints|NOBSBvsNDGame3|NOBSBvsNDGame3A
21,11/15/1998,,,,1400,1400,0,8/25/2020 17:14,12/1/2021 14:36,Senior|Student|DriveInNCSU|ClassificationPts|19RetroactivePoints|NOBSBvsNDGame3|NOBSBvsNDGame3A|21ACCMBBTournament
22,3/29/1999,,,,2995,2995,0,8/26/2020 16:58,6/7/2021 1:01,Student|Senior|ClassificationPts|19RetroactivePoints|UVALotteryWinner|NOBSBvsNDGame3|NOBSBvsNDGame3A
23,,,,,810,810,0,8/26/2020 19:30,3/29/2021 12:15,Student|Graduate Student|ClassificationPts|19RetroactivePoints|NOBSBvsNDGame3|NOBSBvsNDGame3A
24,,,,,300,300,0,8/30/2020 12:19,9/18/2021 23:49,ClassOf2025
25,,,,,1300,1600,300,9/3/2020 16:27,5/30/2022 22:16,ClassOf2022
26,3/15/1999,Winston Salem,North Carolina,27106,3635,14785,11150,9/4/2020 17:05,4/18/2022 10:57,GraduateStudent|MBBvsDuke
27,7/21/1995,,,,1255,1255,0,9/4/2020 17:09,5/26/2022 20:06,GraduateStudent
28,,,,,5880,5880,0,9/4/2020 17:26,4/30/2022 8:58,ClassOf2023|MBBvsDuke
29,,,,,4455,4455,0,9/4/2020 17:28,6/30/2022 20:36,ClassOf2024|MBBvsDuke
30,,,,,9205,9205,0,9/4/2020 17:28,3/24/2022 18:05,ClassOf2024|MBBvsDuke
31,,Raleigh,NC,27612,12915,12925,10,9/4/2020 17:35,5/8/2022 9:30,ClassOf2023|MBBvsDuke
32,,,,,14540,17340,2800,9/4/2020 17:49,4/23/2022 18:29,ClassOf2023
33,,,,,13695,13945,250,9/4/2020 17:49,6/29/2022 18:17,ClassOf2023|21DZ|MBBvsDuke
34,12/14/2000,,,,12925,15725,2800,9/4/2020 18:03,4/19/2022 16:44,ClassOf2023|MBBvsDuke
35,,,,,1175,1175,0,9/4/2020 19:01,,Student|19RetroactivePoints|CampbellGroup|NOBSBvsNDGame3|NOBSBvsNDGame3A
36,,,,,800,800,0,9/4/2020 19:22,,Student|19RetroactivePoints|NOBSBvsNDGame3|NOBSBvsNDGame3A
37,3/2/2000,,,,18365,18365,0,9/4/2020 20:26,6/18/2022 21:40,ClassOf2022|MBBvsDuke|GraduateStudent
38,,,,,3760,3760,0,9/4/2020 20:36,6/27/2022 17:42,ClassOf2023
39,,,,,11775,12075,300,9/4/2020 21:54,7/1/2022 8:31,GraduateStudent|MBBvsDuke
40,,,,,8735,8735,0,9/4/2020 22:05,5/2/2022 18:00,ClassOf2022|MBBvsDuke
41,,,,,1130,1430,300,9/4/2020 22:22,4/18/2022 10:58,ClassOf2023|MBBvsDuke
42,6/9/2000,,,,2285,2285,0,9/5/2020 9:58,3/1/2021 8:00,Student|Senior|ClassificationPts|NOBSBvsNDGame3|NOBSBvsNDGame3A|MBBvGTech30521|BSBvsVTech4.10.21
43,,,,,695,695,0,9/5/2020 10:15,,Student|Freshman|ClassificationPts|NOBSBvsNDGame3|NOBSBvsNDGame3A
44,,,,,11075,11075,0,9/5/2020 11:23,6/22/2022 22:44,ClassOf2024|MBBvsDuke|Student
45,,,,,550,550,0,9/5/2020 12:38,1/28/2022 13:17,ClassOf2024
46,7/20/1995,Winston-Salem,North Carolina,27103,2205,2205,0,9/5/2020 12:52,12/6/2021 20:52,GraduateStudent
47,,Midlothian,VA,23113,15890,16385,495,9/5/2020 17:15,6/29/2022 20:23,ClassOf2024|MBBvsDuke
48,,Winston-Salem ,North Carolina,27106,3310,3560,250,9/5/2020 18:39,6/5/2021 9:44,Student|Senior|ClassificationPts|CampbellGroup|UVALottery_GroupEntry1013|UVALotteryWinner|NOBSBvsNDGame3|NOBSBvsNDGame3A|MBBvGTech30521|21ACCMBBTournament
49,,,,,5030,5030,0,9/5/2020 20:13,2/26/2022 18:17,ClassOf2023|MBBvsDuke
50,,,,,2590,2590,0,9/5/2020 20:38,4/7/2022 18:00,ClassOf2023
51,,,,,2050,2050,0,9/5/2020 21:01,3/1/2022 12:27,ClassOf2024|MBBvsDuke
52,12/20/2000,,,,10190,10690,500,9/5/2020 21:46,6/30/2022 11:27,ClassOf2023
53,11/18/1999,,,,2830,3330,500,9/5/2020 22:33,5/24/2022 20:14,ClassOf2022
54,12/29/2001,Bethesda ,Maryland,20814,4715,7725,3010,9/6/2020 2:14,6/30/2022 16:36,ClassOf2024
